ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y
45,1a872c6e-ebb0-4aee-adb5-8bb3d47e9dc2,819,Interface_Urbana,12/29/2021 3:00:00 PM,Montevideo,sgsp,,5/25/2022 6:08:27 PM,sinae_covid_19,5/25/2022 6:08:27 PM,sinae_covid_19,-56.3336715071726,-34.8862538602306
46,b90c6dd5-1a3c-4790-b539-1482db8e5485,937,De_Campo,12/29/2021 3:00:00 PM,Florida,sgsp,5,5/26/2022 2:48:37 PM,sinae_covid_19,5/26/2022 2:48:37 PM,sinae_covid_19,-55.4661195686647,-33.6661993306186
47,f7c7b7af-8c1a-4a63-a00c-e5e16783b1d1,936,De_Campo,12/29/2021 3:00:00 PM,Cerro_Largo,sgsp,80,5/26/2022 4:06:51 PM,sinae_covid_19,5/26/2022 4:06:51 PM,sinae_covid_19,-54.7322880450533,-32.2925990329575
48,f6677162-eda3-4940-891e-a12f77dcfa4d,935,De_Campo,12/29/2021 3:00:00 PM,Flores,sgsp,4,5/26/2022 4:13:13 PM,sinae_covid_19,5/26/2022 4:13:13 PM,sinae_covid_19,-56.8600320355579,-33.5019476489776
49,e969d58a-23d1-4e28-9c3e-0127f3d561e0,827,Forestal_Plantado,12/29/2021 3:00:00 PM,Rio_Negro,cecoed,20,5/26/2022 4:18:58 PM,sinae_covid_19,5/26/2022 4:18:58 PM,sinae_covid_19,-57.9609378222624,-32.850050468047
50,a2cc6abc-0945-41ef-8d40-c44bf1264a9e,934,De_Campo,12/28/2021 3:00:00 PM,Florida,sgsp,50,5/26/2022 4:30:07 PM,sinae_covid_19,5/26/2022 4:30:07 PM,sinae_covid_19,-55.7475884098739,-33.6068347935215
51,5e816ae1-6ba1-4bcd-8725-8f7f1bca3775,821,Forestal_Plantado,12/28/2021 3:00:00 PM,Paysandu,cecoed,,5/26/2022 4:42:08 PM,sinae_covid_19,5/26/2022 4:42:08 PM,sinae_covid_19,-57.5521193867837,-32.4136677564972
52,0770e074-b3df-499f-8bf6-628a6870898b,933,Interface_Urbana,12/27/2021 3:00:00 PM,Rivera,cecoed,,5/26/2022 4:50:39 PM,sinae_covid_19,5/26/2022 4:50:39 PM,sinae_covid_19,-55.5119095111387,-30.9129356474758
53,800865ec-bc16-45d6-835c-954956456b07,814,De_Campo,12/26/2021 3:00:00 PM,Tacuarembo,cecoed,,5/26/2022 5:09:58 PM,sinae_covid_19,5/26/2022 5:09:58 PM,sinae_covid_19,-55.9816039166286,-31.7427726956513
54,15628974-efd0-41e6-aa5b-e04df98f7051,930,Forestal_Plantado,12/25/2021 3:00:00 PM,Paysandu,sgsp,,5/26/2022 5:14:51 PM,sinae_covid_19,5/26/2022 5:14:51 PM,sinae_covid_19,-57.6200871112033,-32.3726201095846
55,7d547216-0656-4a77-b01c-871b9ccf1918,929,Interface_Urbana,12/24/2021 3:00:00 PM,Flores,sgsp,,5/26/2022 5:19:08 PM,sinae_covid_19,5/26/2022 5:19:08 PM,sinae_covid_19,-56.8883389099076,-33.5370483985429
56,84a72d67-b2ef-41ab-b53b-3a4168c9fcc2,928,Interface_Urbana,12/23/2021 3:00:00 PM,Rocha,sgsp,,5/26/2022 5:23:48 PM,sinae_covid_19,5/26/2022 5:23:48 PM,sinae_covid_19,-53.7810270529148,-34.272202747629
57,6256e96b-e0d9-48eb-b876-e50f1c314e90,927,Forestal_Plantado,12/22/2021 3:00:00 PM,Tacuarembo,sgsp,,5/26/2022 7:12:14 PM,sinae_covid_19,5/26/2022 7:12:14 PM,sinae_covid_19,-55.9294589624676,-31.6941831294472
58,d3fba778-d777-4d44-b23f-08ce69f4d1c6,925,Forestal_Plantado,12/20/2021 3:00:00 PM,Flores,sgsp,,5/26/2022 7:30:05 PM,sinae_covid_19,5/26/2022 7:30:05 PM,sinae_covid_19,-56.9014601592805,-33.8290704465988
59,df625e77-ab7b-4190-b641-81a6a20c7261,801,De_Campo,12/19/2021 3:00:00 PM,Maldonado,sgsp,,5/26/2022 7:37:26 PM,sinae_covid_19,6/15/2022 5:10:07 PM,sinae_covid_19,-54.8983254948134,-34.9118384547378
60,dc8b9205-6043-4394-ab3d-8a95cb5a9564,920,De_Campo,12/18/2021 3:00:00 PM,Flores,sgsp,40,5/27/2022 2:35:54 PM,sinae_covid_19,5/27/2022 2:35:54 PM,sinae_covid_19,-56.7453224929526,-33.5011474811015
61,9201dba7-199d-48fa-b2c3-652027355ada,919,De_Campo,12/17/2021 3:00:00 PM,Rio_Negro,sgsp,50,5/27/2022 2:56:40 PM,sinae_covid_19,5/27/2022 2:56:40 PM,sinae_covid_19,-57.2902099377241,-32.8726885768383
62,139c70d2-841c-489f-a0b5-bb0fdcb81a57,918,De_Campo,12/15/2021 3:00:00 PM,Soriano,sgsp,5,5/27/2022 4:00:08 PM,sinae_covid_19,5/27/2022 4:00:08 PM,sinae_covid_19,-58.1053182978214,-33.6987614991607
